Time,BIOZ_DATA
70.8125,-362
70.828125,-362
70.84375,-366
70.859375,-363
70.875,-352
70.890625,-346
70.90625,-346
70.921875,-348
70.9375,-345
70.953125,-341
70.96875,-343
70.984375,-346
71.0,-342
71.015625,-338
71.03125,-339
71.046875,-333
71.0625,-323
71.078125,-321
71.09375,-322
71.109375,-318
71.125,-310
71.140625,-312
71.15625,-322
71.171875,-329
71.1875,-329
71.203125,-321
71.21875,-313
71.234375,-306
71.25,-309
71.265625,-317
71.28125,-316
71.296875,-306
71.3125,-303
71.328125,-311
71.34375,-311
71.359375,-303
71.375,-309
71.390625,-319
71.40625,-314
71.421875,-301
71.4375,-301
71.453125,-311
71.46875,-315
71.484375,-320
71.5,-326
71.515625,-327
71.53125,-324
71.546875,-320
71.5625,-323
71.578125,-330
71.59375,-330
71.609375,-328
71.625,-332
71.640625,-331
71.65625,-329
71.671875,-338
71.6875,-342
71.703125,-338
71.71875,-330
71.734375,-330
71.75,-333
71.765625,-332
71.78125,-333
71.796875,-334
71.8125,-336
71.828125,-333
71.84375,-328
71.859375,-326
71.875,-334
71.890625,-339
71.90625,-334
71.921875,-337
71.9375,-349
71.953125,-348
71.96875,-347
71.984375,-351
72.0,-350
72.015625,-346
72.03125,-342
72.046875,-344
72.0625,-353
72.078125,-359
72.09375,-354
72.109375,-347
72.125,-352
72.140625,-356
72.15625,-357
72.171875,-353
72.1875,-360
72.203125,-365
72.21875,-365
72.234375,-357
72.25,-363
72.265625,-374
72.28125,-375
72.296875,-368
72.3125,-365
72.328125,-363
72.34375,-368
72.359375,-381
72.375,-384
72.390625,-372
72.40625,-364
72.421875,-369
72.4375,-375
72.453125,-373
72.46875,-371
72.484375,-370
72.5,-356
72.515625,-349
72.53125,-356
72.546875,-365
72.5625,-367
72.578125,-361
72.59375,-357
72.609375,-356
72.625,-357
72.640625,-360
72.65625,-363
72.671875,-365
72.6875,-365
72.703125,-363
72.71875,-363
72.734375,-364
72.75,-360
72.765625,-360
72.78125,-363
72.796875,-370
72.8125,-366
72.828125,-359
72.84375,-361
72.859375,-371
72.875,-375
72.890625,-375
72.90625,-376
72.921875,-376
72.9375,-379
72.953125,-379
72.96875,-380
72.984375,-378
73.0,-377
73.015625,-375
73.03125,-380
73.046875,-386
73.0625,-382
73.078125,-380
73.09375,-379
73.109375,-378
73.125,-374
73.140625,-373
73.15625,-375
73.171875,-377
73.1875,-373
73.203125,-378
73.21875,-381
73.234375,-373
73.25,-365
73.265625,-373
